province,male,agegroup,income,education,age,SupportLP,SupportCP,SupportNDP,SupportBQ,SupportGP,SupportPP,SupportAnother
Ontario,0,ages18to24,"$25,000 to $49,999",Some University,19,1,0,0,0,0,0,0
Ontario,1,ages18to24,"Less than $25,000",Some University,21,1,0,0,0,0,0,0
Ontario,0,ages18to24,"Less than $25,000",Completed Highschool,19,0,0,1,0,0,0,0
Ontario,1,ages18to24,"$50,000 to $74,999",Completed Highschool,19,0,1,0,0,0,0,0
Ontario,1,ages18to24,"$125,000 and more",Some University,24,1,0,0,0,0,0,0
Ontario,0,ages18to24,"$125,000 and more",Completed Highschool,19,1,0,0,0,0,0,0
Ontario,1,ages18to24,"Less than $25,000",Completed Highschool,20,0,1,0,0,0,0,0
Ontario,0,ages18to24,"$25,000 to $49,999",Some University,24,1,0,0,0,0,0,0
Ontario,0,ages18to24,"$25,000 to $49,999",Some University,21,0,0,0,0,1,0,0
Ontario,0,ages18to24,"$50,000 to $74,999",Some University,19,0,0,1,0,0,0,0
Ontario,0,ages18to24,"$50,000 to $74,999",Completed Highschool,21,0,1,0,0,0,0,0
Ontario,1,ages18to24,"Less than $25,000",Some University,20,1,0,0,0,0,0,0
Ontario,0,ages18to24,"$25,000 to $49,999",Some University,20,1,0,0,0,0,0,0
Ontario,1,ages18to24,"$50,000 to $74,999",Some University,22,0,0,1,0,0,0,0
Ontario,0,ages18to24,"$25,000 to $49,999",Completed Highschool,19,0,0,1,0,0,0,0
Ontario,0,ages18to24,"$125,000 and more",Completed Highschool,20,1,0,0,0,0,0,0
Ontario,0,ages18to24,"Less than $25,000",Completed Highschool,21,1,0,0,0,0,0,0
Ontario,1,ages18to24,"$100,000 to $ 124,999",Completed Highschool,23,0,0,1,0,0,0,0
Ontario,1,ages18to24,"$25,000 to $49,999",Some University,22,0,0,0,0,0,0,1
Quebec,0,ages55to64,"Less than $25,000",Some College,63,1,0,0,0,0,0,0
British Columbia,1,ages55to64,"$75,000 to $99,999",Bachelor's Degree,59,0,1,0,0,0,0,0
Ontario,0,ages55to64,"$125,000 and more",Completed Highschool,60,1,0,0,0,0,0,0
Ontario,1,ages55to64,"$125,000 and more",Degree above Bachelor's,63,0,0,1,0,0,0,0
Ontario,0,ages25to34,"$50,000 to $74,999",Bachelor's Degree,29,1,0,0,0,0,0,0
Ontario,0,ages55to64,"Less than $25,000",Completed Highschool,57,0,0,0,0,1,0,0
Alberta,1,ages65to74,"$125,000 and more",Bachelor's Degree,65,0,1,0,0,0,0,0
British Columbia,1,ages65to74,"$50,000 to $74,999",Bachelor's Degree,65,1,0,0,0,0,0,0
Quebec,1,ages35to44,"$125,000 and more",Completed Highschool,41,0,0,0,0,1,0,0
Ontario,1,ages55to64,"$75,000 to $99,999",Bachelor's Degree,62,0,1,0,0,0,0,0
Alberta,1,ages35to44,"$50,000 to $74,999",Bachelor's Degree,42,1,0,0,0,0,0,0
Ontario,1,ages25to34,"$100,000 to $ 124,999",Bachelor's Degree,32,1,0,0,0,0,0,0
Quebec,1,ages65to74,"$50,000 to $74,999",Degree above Bachelor's,67,0,0,0,1,0,0,0
Ontario,1,ages35to44,"Less than $25,000",Completed Highschool,37,0,0,0,0,1,0,0
Ontario,1,ages45to54,"$50,000 to $74,999",Bachelor's Degree,47,0,1,0,0,0,0,0
Ontario,0,ages65to74,"$50,000 to $74,999",Bachelor's Degree,68,0,0,1,0,0,0,0
Ontario,1,ages25to34,"$50,000 to $74,999",Bachelor's Degree,30,1,0,0,0,0,0,0
Quebec,1,ages55to64,"$100,000 to $ 124,999",Completed Highschool,59,0,1,0,0,0,0,0
British Columbia,0,ages55to64,"Less than $25,000",Bachelor's Degree,61,0,0,0,0,1,0,0
Quebec,0,ages25to34,"$100,000 to $ 124,999",Some College,31,0,0,1,0,0,0,0
Ontario,0,ages65to74,"Less than $25,000",Completed Highschool,65,1,0,0,0,0,0,0
Alberta,0,ages45to54,"$75,000 to $99,999",Some College,47,0,1,0,0,0,0,0
Ontario,0,ages65to74,"$25,000 to $49,999",Bachelor's Degree,69,0,0,1,0,0,0,0
Newfoundland and Labrador,0,ages55to64,"$75,000 to $99,999",Some College,64,0,1,0,0,0,0,0
Quebec,0,ages75plus,"Less than $25,000",Some College,76,1,0,0,0,0,0,0
